group,n_nodes,run,failure_wave,failure_time,n_leaders_failed,n_orphans,qi_pre_failure,sr_pre_failure,qi_at_impact,sr_at_impact,qi_3cycles_after,sr_3cycles_after,actions_recluster_at_impact,actions_reallocate_at_impact,qi_recovery_delta
200_with_failures,200,25,1,300,4,65,0.988095,0.975,0.801865,0.642857,0.99267,0.994898,65,0,0.190805
200_with_failures,200,25,2,450,4,40,0.993361,0.994898,0.839455,0.786458,0.992318,0.994792,40,0,0.152863
200_with_failures,200,25,3,600,3,83,0.992516,0.994792,0.785964,0.555556,0.992127,0.994709,83,0,0.206163
200_with_failures,200,26,1,300,5,73,0.989719,0.98,0.752407,0.605128,0.988661,0.979487,73,0,0.236254
200_with_failures,200,26,2,450,4,56,0.988661,0.979487,0.790061,0.685864,0.988213,0.979058,56,0,0.198152
200_with_failures,200,26,3,600,3,46,0.988212,0.979058,0.821121,0.734043,0.992686,0.994681,46,0,0.171565
200_with_failures,200,27,1,300,4,78,0.992626,0.99,0.755261,0.591837,0.991184,0.989796,78,0,0.235923
200_with_failures,200,27,2,450,3,49,0.991183,0.989796,0.820395,0.735751,0.990847,0.989637,49,0,0.170452
200_with_failures,200,27,3,600,3,45,0.990845,0.989637,0.819917,0.752632,0.99033,0.989474,45,0,0.170413
200_with_failures,200,28,1,300,4,66,0.989236,0.98,0.745335,0.642857,0.98839,0.979592,66,0,0.243055
200_with_failures,200,28,2,450,3,48,0.988401,0.979592,0.788283,0.73057,0.987548,0.979275,48,0,0.199265
200_with_failures,200,28,3,600,3,103,0.987548,0.979275,0.676076,0.436842,0.987285,0.978947,103,0,0.311209
200_with_failures,200,29,1,300,4,56,0.994148,0.995,0.797552,0.709184,0.993212,0.994898,56,0,0.19566
200_with_failures,200,29,2,450,4,63,0.993233,0.994898,0.778594,0.666667,0.99302,0.994792,63,0,0.214426
200_with_failures,200,29,3,600,4,61,0.993018,0.994792,0.777419,0.670213,0.992091,0.994681,61,0,0.214672
200_with_failures,200,30,1,300,4,59,0.989621,0.98,0.793657,0.678571,0.988229,0.979592,59,0,0.194572
200_with_failures,200,30,2,450,4,86,0.988225,0.979592,0.742687,0.53125,0.987554,0.979167,86,0,0.244867
200_with_failures,200,30,3,600,3,43,0.987554,0.979167,0.825887,0.751323,0.987252,0.978836,43,0,0.161365
